web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,detail,nombre_chambre,nombre_salle_bain,superficie,adresse,ville,prix,image_link-src
"1707688567-67","https://www.expat-dakar.com/appartements-a-louer?page=4","Appartement à louer derrière hyper marché Exclusif
2 chambre
VDN,
Dakar

vendredi, 13:16

400 000 F Cfa

776441876

783091212

783090808","https://www.expat-dakar.com/annonce/appartement-a-louer-derriere-hyper-marche-exclusif-5987124","Appartement à louer derrière hyper marché Exclusif","2","2","","VDN","Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fc9cb945caff352706186afbcbc73071/-/horizon-files-prod/ed/picture/qv4e5gpm/121b50262a91498cb0cf8d6f2d00cc83ae542468.jpg"
"1707688569-68","https://www.expat-dakar.com/appartements-a-louer?page=4","Appartement à yoff virage
1 chambre
Virage,
Dakar

vendredi, 13:16

800 000 F Cfa

776387541","https://www.expat-dakar.com/annonce/appartement-a-yoff-virage-6000768","Appartement à yoff virage","1","4","","Virage","Dakar","800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/21138d6d237ccba34fba002c81ec1f57/-/horizon-files-prod/ed/picture/qv4e05gw/0b1bb61392964bc5ad0c83bb4b5171807cd66b1f.jpg"
"1707688572-69","https://www.expat-dakar.com/appartements-a-louer?page=4","Appartement à louer aux Almadies
3 chambre200 m²
Almadies,
Dakar

vendredi, 13:19

1 100 000 F Cfa

776441876

783091212

783090808","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadies-3753712","Appartement à louer aux Almadies","3","4","","Almadies","Dakar","1 100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/db2937b60c91f4894b0846f8f6bc6ff0/-/horizon-files-prod/ed/picture/qmwm4k6/f09e79d20bb06300863e512fadb135473230805b.jpg"
"1707688574-70","https://www.expat-dakar.com/appartements-a-louer?page=4","Quatre chambres à louer par mois
4 chambre175 m²
Nord foire,
Dakar

vendredi, 13:26

550 000 F Cfa

772506673

767277483

772506673","https://www.expat-dakar.com/annonce/quatre-chambres-a-louer-par-mois-6000770","Quatre chambres à louer par mois","4","4","","Nord foire","Dakar","550 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/89ff527ba9127a2a289bf3902ab062ac/-/horizon-files-prod/ed/picture/q9m92655/f683d658397279f99b9859a55cc607a6a74c22bb.jpg"
"1707688577-71","https://www.expat-dakar.com/appartements-a-louer?page=4","Appartement avec belle vue sur mer à Fann Résidence
4 chambre
Fann,
Dakar

vendredi, 15:47

2 500 000 F Cfa

775631616","https://www.expat-dakar.com/annonce/appartement-avec-belle-vue-sur-mer-a-fann-residence-5764218","Appartement avec belle vue sur mer à Fann Résidence","4","5","","Fann","Dakar","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d2c87371c31c33d7a181354e0d282212/-/horizon-files-prod/ed/picture/qdewzd65/a23865e028502e1e8f01b2afa4244118c9697148.jpg"
"1707688582-72","https://www.expat-dakar.com/appartements-a-louer?page=3","APPARTEMENT F4 À N'GOR VIRAGE
3 chambre250 m²
Yoff,
Dakar

vendredi, 15:59

850 000 F Cfa

778298993","https://www.expat-dakar.com/annonce/appartement-f4-a-ngor-virage-6000867","APPARTEMENT F4 À N'GOR VIRAGE","3","","NOUS AVONS 2 APPARTEMENTS F4 VIDE AVEC VUE SUR MER À NGOR VIRAGE","Yoff","Dakar","850 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/03be399fa4cbf15f4d5c9a4ea1231870/-/horizon-files-prod/ed/picture/q785dr9q/e8ab73798ba3382124c64766f12efc0f854e1c87.jpg"
"1707688584-73","https://www.expat-dakar.com/appartements-a-louer?page=3","Bel appartement moderne aux Mamelles
2 chambre
Mamelles,
Dakar

vendredi, 16:14

350 000 F Cfa

777488842","https://www.expat-dakar.com/annonce/bel-appartement-moderne-aux-mamelles-6000895","Bel appartement moderne aux Mamelles","2","2","","Mamelles","Dakar","350 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3c1f0b98a581bc240cce0fe563d48216/-/horizon-files-prod/ed/picture/qq47k8vp/a6d3f88bbd46cb6896b097aba63ec98898cdf146.jpg"
"1707688586-74","https://www.expat-dakar.com/appartements-a-louer?page=3","APPARTEMENT A LOUER
3 chambre110 m²
Almadies 2,
Dakar

vendredi, 16:42

275 000 F Cfa

776866139

776866048

776866024","https://www.expat-dakar.com/annonce/appartement-a-louer-5989507","APPARTEMENT A LOUER","3","3","","Almadies 2","Dakar","275 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f42d0d9fc54de7310cdfea533b9b1ab6/-/horizon-files-prod/ed/picture/qq478vqw/9400d06fe47935fe4fbcbcf4ccf824c25a15768a.jpg"
"1707688589-75","https://www.expat-dakar.com/appartements-a-louer?page=3","APPARTEMENT À LOUER
3 chambre90 m²
Almadies 2,
Dakar

vendredi, 16:42

300 000 F Cfa

776866139

776866048

776866024","https://www.expat-dakar.com/annonce/appartement-a-louer-5989116","APPARTEMENT À LOUER","3","2","","Almadies 2","Dakar","300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/95e373e2bd076bea1707811ccdfdb6d0/-/horizon-files-prod/ed/picture/qpd6q2mq/b149f29bda6ad2c97fc64656308e31be966eec0f.jpg"
"1707688591-76","https://www.expat-dakar.com/appartements-a-louer?page=3","Appartement à louer aux Almadies
3 chambre
Almadies,
Dakar

vendredi, 17:16

1 700 000 F Cfa

783919539","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadies-5761836","Appartement à louer aux Almadies","3","","","Almadies","Dakar","1 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/89f623e0a49f69ebc7871dfc64188522/-/horizon-files-prod/ed/picture/qkr5d5dn/33eecac12787421197bafd1a88514f747ffd8d97.jpg"
"1707688594-77","https://www.expat-dakar.com/appartements-a-louer?page=3","Magnifique appartement à louer à sacre coeur
3 chambre150 m²
Sicap Sacré-cœur,
Dakar

vendredi, 19:55

500 000 F Cfa

776953266","https://www.expat-dakar.com/annonce/magnifique-appartement-a-louer-a-sacre-coeur-5971804","Magnifique appartement à louer à sacre coeur","3","","","Sicap Sacré-cœur","Dakar","500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/36b3eef0971c52e66c55550f1b181615/-/horizon-files-prod/ed/picture/q9m9w7gx/79df3c4962ae8303bfaa3e6ace26db679964fbde.jpg"
"1707688596-78","https://www.expat-dakar.com/appartements-a-louer?page=3","APPARTEMENT F5 OUAKAM
4 chambre
Ouakam,
Dakar

vendredi, 22:55

400 000 F Cfa

773752863

771059344","https://www.expat-dakar.com/annonce/appartement-f5-ouakam-6001061","APPARTEMENT F5 OUAKAM","4","3","","Ouakam","Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d536555ea00c01ac2ff482a866ae3a82/-/horizon-files-prod/ed/picture/q2jq2ned/f444d08b14199f8f5bdd17431428b848b68a5528.jpg"
"1707688599-79","https://www.expat-dakar.com/appartements-a-louer?page=3","Appartements F4 neufs a louer aux Almadies
3 chambre
Almadies,
Dakar

jeudi, 10:57

1 600 000 F Cfa

766343415

776108934","https://www.expat-dakar.com/annonce/appartements-f4-neufs-a-louer-aux-almadies-5998472","Appartements F4 neufs a louer aux Almadies","3","4","Appartements F4 + Service (210 à 250m2)

Composé de :","Almadies","Dakar","1 600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0d17ab00f11049b321b8e134edc484a6/-/horizon-files-prod/ed/picture/qwe29n84/569945a7bbbdc4ef2a6b214ffedbe80ae7f8407d.jpg"
"1707688601-80","https://www.expat-dakar.com/appartements-a-louer?page=3","APPARTEMENT F5 A LOUER
4 chambre165 m²
Virage,
Dakar

Hier, 01:55

650 000 F Cfa

784689081","https://www.expat-dakar.com/annonce/appartement-f5-a-louer-5255641","APPARTEMENT F5 A LOUER","4","5","","Virage","Dakar","650 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/40c4491d123f59aa2f5531a4bcef187c/-/horizon-files-prod/ed/picture/q56wg8k0/c71338f630323ee5d976207625eb62d17d51a2a7.jpg"
"1707688603-81","https://www.expat-dakar.com/appartements-a-louer?page=3","Appartement à louer à la cité keur gorgui
3 chambre
Cité keur gorgui,
Dakar

Hier, 09:36

900 000 F Cfa

776763097","https://www.expat-dakar.com/annonce/appartement-a-louer-a-la-cite-keur-gorgui-6000945","Appartement à louer à la cité keur gorgui","3","","Caractéristiques de l'appartement :","Cité keur gorgui","Dakar","900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/da77fcb604131ae54aca769a56feadfe/-/horizon-files-prod/ed/picture/q785dr4j/bb17c227794781ba007ebbd520da3f58454a1fec.jpg"
"1707688608-82","https://www.expat-dakar.com/appartements-a-louer?page=2","Appartement à louer (location temporaire)
2 chambre
Cite Mixta,
Dakar

Hier, 11:25

275 000 F Cfa

779333454","https://www.expat-dakar.com/annonce/appartement-a-louer-location-temporaire-5999351","Appartement à louer (location temporaire)","2","2","Situé au rez-de-chaussée, cet appartement offre deux chambres confortables. La grande chambre climatisée dispose d'une salle de bain attenante, tandis que la petite chambre est équipée d'un ventilateur suspendu au plafond. Chaque chambre est équipée d'un grand lit avec matelas orthopédique neuf pour un confort optimal.","Cite Mixta","Dakar","275 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fb35374f174fc913c7a70ef861b92240/-/horizon-files-prod/ed/picture/qq47k6we/3dba815bd8e08d29062cc45f33381b459f40f648.jpg"
"1707688611-83","https://www.expat-dakar.com/appartements-a-louer?page=2","Jolie appartement au mamel
4 chambre190 m²
Almadies,
Dakar

Hier, 12:05

500 000 F Cfa

781144342

781144342","https://www.expat-dakar.com/annonce/jolie-appartement-au-mamel-5994538","Jolie appartement au mamel","4","3","","Almadies","Dakar","500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7086da0653c06d6b77decd769524aab8/-/horizon-files-prod/ed/picture/qpd6qk8p/24424693f0405b6e981fee4675a1a0f36f814b0a.jpg"
"1707688613-84","https://www.expat-dakar.com/appartements-a-louer?page=2","F4 haut de gamme neuf au point E
3 chambre238 m²
Point-e,
Dakar

Hier, 12:59

1 600 000 F Cfa

776333704

776333704","https://www.expat-dakar.com/annonce/f4-haut-de-gamme-neuf-au-point-e-5994321","F4 haut de gamme neuf au point E","3","3","","Point-e","Dakar","1 600 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fe15b651232ea614c1a4653b23c0bb45/-/horizon-files-prod/ed/picture/qzvd57gd/261720e01e2eab9c650200f2886f16a264d12b0e.jpg"
"1707688616-85","https://www.expat-dakar.com/appartements-a-louer?page=2","Somptueux F4 sur la corniche
3 chambre250 m²
Ouakam,
Dakar

Hier, 12:59

1 500 000 F Cfa

776333704

776333704","https://www.expat-dakar.com/annonce/somptueux-f4-sur-la-corniche-5985099","Somptueux F4 sur la corniche","3","3","","Ouakam","Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5af76217b64788718f38238121bfc684/-/horizon-files-prod/ed/picture/qxj2ej04/5d3bc93102c3c9b261394ff44709f19f7a293e1e.jpg"
"1707688618-86","https://www.expat-dakar.com/appartements-a-louer?page=2","Appartement Neuf 3 chambres Sacre Coeur
3 chambre150 m²
Sacré-cœur,
Dakar

Hier, 13:02

750 000 F Cfa

771156450","https://www.expat-dakar.com/annonce/appartement-neuf-3-chambres-sacre-coeur-6001365","Appartement Neuf 3 chambres Sacre Coeur","3","3","","Sacré-cœur","Dakar","750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/520ad6bd15bc6e47cb38cabafae3a8fa/-/horizon-files-prod/ed/picture/qzvdqq6r/45236fdff368ca16ba3f7c6e06ef5f2a05a56fa4.jpg"
"1707688621-87","https://www.expat-dakar.com/appartements-a-louer?page=2","Appartement rdc grand standing
3 chambre180 m²
Mamelles,
Dakar

Hier, 15:45

420 000 F Cfa

784621889

784621889","https://www.expat-dakar.com/annonce/appartement-rdc-grand-standing-5973427","Appartement rdc grand standing","3","2","","Mamelles","Dakar","420 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/837478902452f0b1843b8dfd114af14d/-/horizon-files-prod/ed/picture/qngx2rew/a3cbfac7e25234c1da27e335ccc357ee8363793e.jpg"
"1707688623-88","https://www.expat-dakar.com/appartements-a-louer?page=2","Superbe appartement F4 vue sur mer
3 chambre200 m²
Virage,
Dakar

Hier, 16:26

1 800 000 F Cfa

781510606

763719494","https://www.expat-dakar.com/annonce/superbe-appartement-f4-vue-sur-mer-5673420","Superbe appartement F4 vue sur mer","3","3","","Virage","Dakar","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1fc9d0dd65a8375c06b8abd649c3be33/-/horizon-files-prod/ed/picture/qen5ve6k/dabc3b74d847a3f3cb2d6096b05983e87a1ad0e8.jpg"
"1707688626-89","https://www.expat-dakar.com/appartements-a-louer?page=2","Bel appartement F4 au Virage
3 chambre180 m²
Virage,
Dakar

Hier, 19:01

1 200 000 F Cfa

781510606

763719494","https://www.expat-dakar.com/annonce/bel-appartement-f4-au-virage-6001562","Bel appartement F4 au Virage","3","","","Virage","Dakar","1 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f9c2acaa36ab53d946831196733bffad/-/horizon-files-prod/ed/picture/qdekzz50/f7f4d474dd1a7492b445cfa517eae71469aa7251.jpg"
"1707688629-90","https://www.expat-dakar.com/appartements-a-louer?page=2","Appartement 3 chambres salon au 3e étage à Mermoz
3 chambre190 m²
Mermoz,
Dakar

Hier, 19:03

900 000 F Cfa

774633788

776686666","https://www.expat-dakar.com/annonce/appartement-3-chambres-salon-au-3e-etage-a-mermoz-6001561","Appartement 3 chambres salon au 3e étage à Mermoz","3","3","","Mermoz","Dakar","900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c9eca5ba555290e39234bbca5be7de4/-/horizon-files-prod/ed/picture/q2jq224k/b3f9ae619d86a770461dab2ec69d26ffe7effa15.jpg"
"1707688632-91","https://www.expat-dakar.com/appartements-a-louer?page=2","APPARTEMENT À LOUER AU POINT E
3 chambre
Point-e,
Dakar

Hier, 20:12

Vendeur vérifié

1 500 000 F Cfa

772953810

775941402","https://www.expat-dakar.com/annonce/appartement-a-louer-au-point-e-6001582","APPARTEMENT À LOUER AU POINT E","3","","","Point-e","Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ea2d175a736157131389abef5a7b3f9b/-/horizon-files-prod/ed/picture/qpd655km/3bc5389a46e9476c302aebf9d988a26aa47bce65.jpg"
"1707688637-92","https://www.expat-dakar.com/appartements-a-louer?page=1","Villa 1000m2 a louer en ville
4 chambre10,000 m²
Plateau,
Dakar

Hier, 21:30

4 000 000 F Cfa

771048216

766612910

771048216","https://www.expat-dakar.com/annonce/villa-1000m2-a-louer-en-ville-6001607","Villa 1000m2 a louer en ville","4","4","","Plateau","Dakar","4 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/eb1e8a4405a3e4b33a4c06a6976796d5/-/horizon-files-prod/ed/picture/qq47kxqw/876ddb5c6b401952435727b6b0f60c60de811a97.jpg"
"1707688639-93","https://www.expat-dakar.com/appartements-a-louer?page=1","Joli appartement à louer à pikine
2 chambre100 m²
Pikine,
Dakar

Hier, 22:28

225 000 F Cfa

771048216

766612910

771048216","https://www.expat-dakar.com/annonce/joli-appartement-a-louer-a-pikine-6001608","Joli appartement à louer à pikine","2","2","","Pikine","Dakar","225 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2bcafe27bf0e1ee7c99ba5d774f590e8/-/horizon-files-prod/ed/picture/q8v52r09/d782c61d2059d20023465e167715e639c0442be7.jpg"
"1707688642-94","https://www.expat-dakar.com/appartements-a-louer?page=1","Joli appartement a louer aux mamelles
3 chambre150 m²
Mamelles,
Dakar

18. déc. '23, 12:43

700 000 F Cfa

771048216

766612910

771048216","https://www.expat-dakar.com/annonce/joli-appartement-a-louer-aux-mamelles-5962616","Joli appartement a louer aux mamelles","3","3","","Mamelles","Dakar","700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ec7bbe6c573a778d862c384ad8bb9501/-/horizon-files-prod/ed/picture/qpd68k2p/966107abf1a389d99e74833bbb671e0ee1b3c05c.jpg"
"1707688644-95","https://www.expat-dakar.com/appartements-a-louer?page=1","Appartement à louer
3 chambre200 m²
Ouakam,
Dakar

29. oct. '23, 12:06

1 800 000 F Cfa

778893740

706365668

776723168","https://www.expat-dakar.com/annonce/appartement-a-louer-5919481","Appartement à louer","3","3","","Ouakam","Dakar","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ef66562ed6186625df518ef72ddcbafe/-/horizon-files-prod/ed/picture/qj4r6n55/56e1c1d34d9d77c99f64dc41994f2467356d3433.jpg"
"1707688647-96","https://www.expat-dakar.com/appartements-a-louer?page=1","APPARTEMENT F4 CORNICHE FANN MERMOZ
3 chambre
Fann,
Dakar

Aujourd'hui, 16:37

Vendeur vérifié

2 200 000 F Cfa

772293834

769023031","https://www.expat-dakar.com/annonce/appartement-f4-corniche-fann-mermoz-6001863","APPARTEMENT F4 CORNICHE FANN MERMOZ","3","5","Résidence avec piscine parking gardiennage H24","Fann","Dakar","2 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d7e027e9e6e4fed830c5451d53f6d776/-/horizon-files-prod/ed/picture/q56x2q57/e1f40607e5a57d9322e3612fde8c97f70726a741.jpg"
"1707688651-97","https://www.expat-dakar.com/appartements-a-louer?page=1","APPARTEMENT F5 EN TRIPLEX AVEC TERRASSES
4 chambre
Mermoz,
Dakar

Aujourd'hui, 16:40

Vendeur vérifié

1 500 000 F Cfa

772293834

769023031","https://www.expat-dakar.com/annonce/appartement-f5-en-triplex-avec-terrasses-5995685","APPARTEMENT F5 EN TRIPLEX AVEC TERRASSES","4","4","","Mermoz","Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/79f5816609a8c2e5ac9107d9f3bef544/-/horizon-files-prod/ed/picture/q56x260x/50448a9465965c2cfd0d22249c53f3f10f443311.jpg"
"1707688656-98","https://www.expat-dakar.com/appartements-a-louer?page=1","Appartement F3 tout neuf à louer à Dakar plateau
2 chambre135 m²
Plateau,
Dakar

Aujourd'hui, 18:13

Vendeur vérifié

850 000 F Cfa

774723333","https://www.expat-dakar.com/annonce/appartement-f3-tout-neuf-a-louer-a-dakar-plateau-5994370","Appartement F3 tout neuf à louer à Dakar plateau","2","","Commodites:

Parking sous-sol, salle de sport, piscine.","Plateau","Dakar","850 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ddfd0808b7aace3ffe96cb9834663548/-/horizon-files-prod/ed/picture/q9m964mn/425deffff8610d7b8e0c13501fd269cbae2e41a7.jpg"
"1707688660-99","https://www.expat-dakar.com/appartements-a-louer?page=1","APPARTEMENT F4 TOUT NEUF À LOUER À DAKAR PLATEAU
3 chambre193 m²
Plateau,
Dakar

Aujourd'hui, 18:13

Vendeur vérifié

1 000 000 F Cfa

774723333","https://www.expat-dakar.com/annonce/appartement-f4-tout-neuf-a-louer-a-dakar-plateau-5994280","APPARTEMENT F4 TOUT NEUF À LOUER À DAKAR PLATEAU","3","","Commodites:

Parking sous-sol, salle de sport, piscine.","Plateau","Dakar","1 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f911425e6977c039dd2d70fd1c0282ca/-/horizon-files-prod/ed/picture/qkrgvw4p/7b68757be185150d4983ff31419d16431b538cb1.jpg"
"1707688665-100","https://www.expat-dakar.com/appartements-a-louer?page=1","APPARTEMENT F4 TOUT NEUF HAUT STANDING À LOUER À MERMOZ
3 chambre
Mermoz,
Dakar

Aujourd'hui, 18:15

Vendeur vérifié

750 000 F Cfa

774723333","https://www.expat-dakar.com/annonce/appartement-f4-tout-neuf-haut-standing-a-louer-a-mermoz-5969575","APPARTEMENT F4 TOUT NEUF HAUT STANDING À LOUER À MERMOZ","3","","Prix: 750.000 FCFA","Mermoz","Dakar","750 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/daea0f85a39ccacd2927fcb64a7d536b/-/horizon-files-prod/ed/picture/q44872kr/4ab5f391f771fc6cf7d7d1af9cfe6dca2278bba5.jpg"
"1707688668-101","https://www.expat-dakar.com/appartements-a-louer?page=1","appartement standing vue sur mer aux almadie
3 chambre250 m²
Almadies,
Dakar

Aujourd'hui, 18:20

1 500 000 F Cfa

771048216

766612910

771048216","https://www.expat-dakar.com/annonce/appartement-standing-vue-sur-mer-aux-almadie-5706340","appartement standing vue sur mer aux almadie","3","3","","Almadies","Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9407e649108018af93dba41a5b846924/-/horizon-files-prod/ed/picture/qdewdvxw/f57195a8194aaa2a7353d14cb6eaf535a813ad41.jpg"
